34870;Drumming Fingers
56557;Sliding Two Fingers Right
129112;Sliding Two Fingers Down
63861;Pulling Two Fingers In
131717;Sliding Two Fingers Up
23595;Zooming Out With Two Fingers
93002;Pulling Hand In
136859;Thumb Up
68574;Swiping Right
119263;Zooming In With Two Fingers
60572;Stop Sign
118480;Doing other things
6522;Swiping Down
20706;No gesture
42237;Thumb Down
142698;Pulling Hand In
56025;Rolling Hand Forward
118847;Pushing Hand Away
63763;Zooming Out With Two Fingers
133442;Zooming Out With Full Hand
100344;Shaking Hand
82219;Zooming Out With Two Fingers
94060;Thumb Down
39493;No gesture
118250;Swiping Down
50209;Sliding Two Fingers Down
107050;Turning Hand Counterclockwise
75236;Drumming Fingers
57576;Zooming In With Full Hand
26746;Rolling Hand Backward
33174;Turning Hand Clockwise
47266;Zooming In With Two Fingers
69886;Zooming In With Full Hand
62818;Swiping Left
14506;Stop Sign
29589;Thumb Down
90655;Sliding Two Fingers Left
84402;Pushing Two Fingers Away
108343;Sliding Two Fingers Right
15953;Sliding Two Fingers Down
120035;Pushing Two Fingers Away
46867;Zooming Out With Full Hand
1338;Swiping Right
10179;Swiping Left
19834;Zooming Out With Full Hand
137652;Pushing Two Fingers Away
121324;Zooming Out With Full Hand
110670;Pulling Two Fingers In
122652;Pulling Hand In
147554;Rolling Hand Forward
33632;Doing other things
145764;Turning Hand Counterclockwise
28883;No gesture
53863;Swiping Down
103634;Pulling Hand In
42951;Zooming Out With Full Hand
144360;Pushing Two Fingers Away
43754;Zooming In With Two Fingers
95986;Doing other things
90919;Pulling Hand In
132960;Drumming Fingers
141659;Pushing Hand Away
57518;Pushing Hand Away
136366;Thumb Down
5119;Zooming In With Two Fingers
35158;Pulling Hand In
53251;Zooming In With Full Hand
107175;Shaking Hand
87759;Rolling Hand Forward
37219;Stop Sign
84768;Sliding Two Fingers Left
49096;Zooming Out With Full Hand
117892;Swiping Down
36380;Pushing Two Fingers Away
96509;Drumming Fingers
119336;Sliding Two Fingers Left
141369;Sliding Two Fingers Up
97070;Sliding Two Fingers Left
109425;Sliding Two Fingers Up
120723;Doing other things
49506;Stop Sign
64989;Zooming Out With Two Fingers
112267;Pulling Two Fingers In
83532;Rolling Hand Backward
40869;Thumb Down
12133;No gesture
52724;Zooming In With Full Hand
123985;No gesture
2720;Thumb Up
112513;Thumb Down
9504;Rolling Hand Forward
143778;Pushing Hand Away
129472;Zooming Out With Two Fingers
40836;Swiping Down
26431;Zooming Out With Full Hand
63541;Stop Sign
102678;No gesture
71550;Thumb Down
118215;Thumb Down
64120;Shaking Hand
119578;Sliding Two Fingers Right
133457;Sliding Two Fingers Up
128439;Sliding Two Fingers Left
55209;Pushing Hand Away
6458;Doing other things
10504;No gesture
69418;Pulling Hand In
72381;Doing other things
104639;Swiping Left
72772;Sliding Two Fingers Left
85923;Swiping Up
127712;Thumb Up
97582;Pushing Hand Away
79314;Swiping Down
25380;Zooming Out With Full Hand
77548;Pushing Two Fingers Away
20263;Pulling Two Fingers In
36039;Rolling Hand Forward
56224;Pulling Hand In
71426;Sliding Two Fingers Down
64966;Zooming Out With Full Hand
74327;Zooming Out With Full Hand
50483;Thumb Down
106347;Zooming In With Full Hand
